Source,Target
Your dispatch of tJie 29th. of July,last
Charg6 d' Affaires,in relation
however immediately addressed a note,the Secretary at State of
Affairs of the United States,copies of which were aiclosed
any event,it is
the President and Secretary of War and Marine,the Communication
23rd. ultimo. I showed the President's reply,Mr Calhoun who
6 C/.WlUdns,Calhoun
too ill,leave his room) and in pursuance of your instructions made
known,him and afterwards
regard,the measures that would be adopted by this Government in
fulfillment of its pledges,and directed
reference,this subject
having been brought,the attention of this Government by the
Howard,it seemed
cation upon it,the Department of State here.
ment of State of the United States,their Minister at Mexico
communicated by him,the Mexican Government
Mexico as highly offensive,th^n. â€” A cop/ of it will be furnished
Since writing the above Mr Calhoun has sent us his dispatch,to
Genl Howard,to peruse
in it respecting the disposition,be made of the land and naval
forces of the United States in order,our protection. I inamediately
called at the Department of State and expressed,Mr Calhoun my
orders,given at the time tiie treaty was made
I shall continue,press upon the (Jovemment of the United States
by every consideration in my power,offer
are under,afford us prompt and efficient aid and protection against
I have the honor,be with high regard
Calhoun,Donelson
Thomas,Taylor.**
Thomas,Arbuokle.''
Calhoun,Raymond
Raymond,Jones
d' Affaires,our Government. The appointment has been confered
special message was dispatched,him on yesterday morning ^th
entertained,he is directed
seat of Government and communicate,your Department the meas-
ures taken and,be taken by this Government in fulfillment of its
pledges of protection. In addition,the protest of this Government
to Mexico,refered
States Chargfi is directed,communicate
command,to the Gulf and along our coast
authorized and instructed,upon representations being made
by our Government that there is reason,apprehend an attack
adjacent,the boimdary line of Texas and the United States
restraining by force these Indians,to order the troops from Fort
Jesup,Fort Towson etc
one desirable point at which,station a large detachment. Mexico
under that article of the treaty,Texas has the right
States and Texas,endeavouring
at home,to furnish such facts and evidence
Charg6 d' Affaires,in relation
him,give the orders alluded to.
on a visit of a few days,the Springs in Virginia. Mr Calhoun will
leave next week on a visit,South Carolina
I have the honor,be with sentiments of high regard Your Most
Raymond,Jones
recently,with the Secretary of State in regard
of this city,to New York
District Attorney,is directed
ing the laws of neutrality,to institvite the necessary l^al process
for their detention. Owing however,the want of proper mimicipal
regulations,in this country
in such cases,I very much fear they will be suffered
I was on yesterday permitted,read at the Department of State
part of our country. This,be done
by him that orders had gone,Commodore Connor
with with the vessels under his command,on a cruise
Minister at Mexico has been instructed,make
no serious invasion either by land or sea,it is wise
appointment of Charg6 d 'Affaires,Texas
and that he is now on his way,his post.
I have the honor,be
Shannon,Rej6n.*
a October 14 1844,
You have been appointed Chargfi d' Affaires of this Government to ,
that of the United States and I have the pleasure,transmit you
herewith your commission as such,your letter of Credence
presented,the Secretary of State of that coxmtry
the same ^ and also a full power,negotiate Treaties etc.
So soon as it may be convenient it is desired that you will repair to ,
the aid and protection,be rendered this country by the United
under the pledges and assurances given,previous
of the United States not be wiUing,fulfill all those pledges in the
most ample manner and,protect us both by sea and land
in reference,annexation
ised copies of the instructions sent,him and
Charg6,Mexico. I am consequently as yet ignorant of the precise
course adopted by the Cabinet at Washington in reference,the
appUcation made,it some time since for a redemption of those
time,be present at the Treaty. This circumstance was very much
regretted by the President,and he used every effort
and would not wait. You will explain this matter,the Secretary
I have the honor,be very Respy.
Jones,Raymond
I have the honor,inform you that the Hon. James Reily has
been appointed Chargfi d'Affaires of this (lovemment,the United
I have the honor,be
Shannon,Calhoun
Rej6n,Shannon
Shannon,Rej6n.&lt;*
Rej6n,Shannon
o Received Noyember 28. Bee Raymond,Secretary of State of Texas
e October 31 1844,
d November 4 1844,
â€¢ November 6 1844,
Shannon,Rej6n.&lt;*
Reillt,Jones
Raymond,Jones
tion,Europe for a few months
him,appoint some suitable person as Vice Consul during his absence.
patch,his Government
means,make a move against us
mitted,your Representative
emment is now preparing the case,submit
I have the honor,be with sentiments of high regard
a November 8 1844,
b November 10 1844,
Bbplt of Jones,Donelson's Address.^
Address of Donelson's,Houston
Reply of Houston,Donelson Address.*
Donelson,Jones
Finding among the mstructions directed,this legation
Government of the United States,a despatch
d' Affaires,Grenl Murphy
which resulted in an agreement by the Masters of those vessels,pay
that the views of my Government on the subject,if communicated to
earliest opportunity since my arrival,soUcit your attention
Not supposing it can be intended,deny
along its west Bank,the 32d degree of North latitude
tained by the line referred to,it is presumed by my Government that
mere statement of the facts of the case,this Government will pro-
this expectation it cannot be necessary for me,dwell upon the
tendency of such complaints,interrupt the friendly feeling between
two Governments,promote
rights,to obstain from every act which can be deemed questionable
I have the honor,be
Mr. CticuUu,Mr. Si&gt;encer.
I have the honor,transmit
threats of being sunk,to land in Texas and there give their obligatiooi
to pay one dollar per ton,the Texian oflBicer of the Customs
they did under protest (No 2),also the reply of Hon Batie&lt;* Peyton to
a letter addressed,him on the subject by me.
This being a very grave matter and one Ukely,lead
agreeable results,both countries
I have the honor,be
ICr^ Peyton,Mr. CacoUu.
Sabine,were compelled by threats of having their vessels sunk
land on the Texas side,and there pay or give their obligation
said Captains are about,clear for the Sabine
intending,stop at a foreign port
belongs,the Executive departments of the governments of the
According,the treaty of 22nd February 1819
tinuing North along the western lanTc of that river,the 32nd degree
of latitude,thence by a line due North
rivers,throughout the course thus described
common,the inhabitants of both nations.
ereignty over the whole extent of the Sabine river up,the degree
rights of her citizens,molest or hinder them in the navigation of
I think that you should extend all reasonable protection,Ameri-
means,be used are
would suggest the propriety of resorting,no course which may
have a tendency,produce violence or bloodshed
to come,anchor by the firing of two large gims from the Texas
Band,^ and demanded
of our vessels; and refusing,comply
Uie amount of any money with us,meet such demand and believing
such,be no better than robbery upon the high sea
this is a duplicate. Hoping,be protected by our government in
the United States,we submit this
ing the imposition of said tonnage duty,be improper and not
having the amoimt of Money required,be paid
now obtaining the same,at this place and with a disposition
Dashiels ^ Esq. hereby agrees,accept from the said Daniel Eddy
and D. N. McÂ«s,their respective promissory notes
are made a part of this agreement by consent of all parties,the
Rivers,then the said Eddy and Moss agree
as are expressed,be paid in said promissory notes
shall deliver the same,said Eddy and Moss or their properly
We or either of us hereby promise,pay
We or either of us hereby promise,pay
Calhoun,President op United States [Tylee]. **
Calhoun,Raymond
Raymond,Calhoun
Raymond,the Secretary of State of Texas [Jones]*'.
I had the honor,on the 28th. ultimo
had been appointed Charg6 d'Affaires of Texas,the United States
month,enter upon the duties of his oflBice. He has not yet arrived
Enclosed herewith I transmit,your department a copy of the
Snively affair,has been brought
is hoped you wiU soon enable your Representative,here
cate the evidence alluded to,to this Government for the information
the United States,both Houses of Congress
cated,them on yesterday. It recommends
h December 2,1 S44. See Raymond
unless,in the mean time
ment. It will be for Texas,say whether she wiU consent
I send you by the mail of,"day the '* National Intelligencer"" of"
this morning,and the ** Globe'' of yesterday and
I will continue,send you the newspapers and
I have the honor,be with great regard
(Mr Calhoun,Mr. Raymond
In a note which I had the honor,address
to the outrage alledged,have been committed by certain citizens of
that,in order
should be furnished with *'all the evidence which may be required to ,
United States,and the amount of damage suffered in consequence; to
be transmitted by the President,"Congress with his Message."""
observes: â€” ''The testimony refered to,as necessary
to the subject,and request that the evidence refered to
received,may be communicated
the same may be transmitted with the President's Message,morrow.
I have the honor,be
In reply,your note of
lishing; authentically,the facts of the outrage alledged
District of Red River if in my possession,might be communicated to
your Department in order that the same might be transmitted,to-
morrow,with the President's Message
to inform you that the evidence alluded,has not yet been received
but there is every reason,believe it soon will be
honor,be
Donelson,Jones
The Undersigned Charge d'Affaires of the United States,Texas
has the honor,inform you
Mexico and that Government,in relation
and,the mode of conducting it
on a subject of such vital importance,the interests of Texas
the responsibility incurred by the invitation which led,the Treaty
of Annexation,the undersigned begs leave
correspondence,you.
The undersigned,not
which they appear,call for from him
of annexation; and in the mean time has the honor,subscribe
[The enclosures referred,in the letter are Shannon
October 14 1844,
Rej6n,November 4 1844
Shannon,Rej6n
Jones,Donelson
the honor,acknowledge the receipt of the note Mr. Donelson Charg6
United States,at Mexico
signed is happy,also
out the pledges,given
convenience,be much gratified
may appear,him
to tender,Mr. Donebon
he has the honor,be
Allen,Reilly.*
United States,has requested me
fore consented,make it in this informal manner.
I have the honor,be
Chargi d Affaires of the United Staies,Texas
Allen,Donelson
has the honor,acknowledge the receipt of the note
Donelson,Charg6 d'Aflfaires etc.
heretofore issued by His Excellency,President Houston
The undersigned avails himself of this occasion,offer
Allen,Donelson
a December 10 1844,
Â« December 13 1844,
leave respectfully,invite the attention of the Honble Mr Allen to
the ninth section of the act entitled an act supplementary,an
"act,raise a revenue by import duties, whereby an additional ",
The undersigned anxious,improve the intercourse between
referred to,against the United States
course is productive of no advantage,the revenue of Texas
lead the Executive of Texas,take the same view of it
result in a recommendation,Congress
it relates,the vessels of the United States.
proof of the desire of the United States,to promote by all the means
honor,be with sentiments of the highest regard
Points,be Insisted on in Annexation.*
Assumption of national debt,or not. If not assumed
Texas hereafter,comprise as many states as the U. States may
ft The original is written on a loose sheet which was filed separately,and there Is nothing
"It was used. It is endorsed "" Points",be Insistad on In the aiuiezatloa measure which may be passed
that they are,be reimbursed upon the same principles of equity
Public debt not,exceed 10
Public Uabihties,be redeemed at the price at which they were
the joint resolution,be passed by the Congress of the United States
add greatly,the satisfaction of the people of Texas
Raymond,Jones
Calhoun,Raymond
Raymond,Calhoun
Raymond,the Seorbtary op State op Texas [Allen acting]./
Enclosed herewith I have the honor,transmit a copy of the note
seeking for information in regard,our pubUc debt and public lands
and also a copy of my reply,to the same.
In answer,his inquiry
â€¢ December 16 1844,
Â« December 23 1844,
â€¢December 27 1844,
8 per cent interest,amounting in all
contained in the newspapers which I have from time,time sent to
of Texas,this Union
and the House of Representatives,and refered
Conunittees. Mr WeUer's resolution seems,meet with the most
matters which rendered Col. Benton's bill so exceptionable,many
"The ""Texas question'' will",according
come up,day
IngersoU of Pa is entitled,the floor. I will be particular in sending
has ceased,excite much interest. It is supposed Mr Rejon wrote
induce it,withdraw its insulting and highly offensive note.
I have the honor,be
I have the honor,transmit
certain information in regard,the public debt and the public land
I invite your attention,particularly
In replying,these inquiries
addition,that heretofore communicated by the Texan plenipo-
tentiaries,Messrs Van Zandt and Henderson
subjects referred,in the Resolution
municate the same,this Department.
I have the honor,be
I have had the honor,receive your note of the 23rd. Instant
inviting my attention,certain subjects of inquiry
instant,calling on the President for information in regard
And in reply,the first inquiry
April,last
public debt has not been increased since the period referred to,except
In answer,the second inquiry as
state that,if there have been any
edge. I know of but one law authorizing the Government,make
authorizes the Government,issue land scrip
the effect,as you will readily perceive
I have nothing further,add
municated,you by the Texian plenipotentiaries
Land Office of Texas,which was refered
faith of that Republic stood pledged,are intended
I have the honor,be with distinguished consideration
Williams,Thurston
Raymond,Jones
Allen,Donelson
has the honor,congratulate Mr. Donelson
sion,transmit
and,enable him
consideration of his Government,should he deem it expedient
o Janaaiy 1 1845,
industriously occupied in endeavouring,procure the sanction of
Congress,certain projected measures
frequent private interviews with members of that body,to influence
an institution,"to be styled ""The Texas Land Company"
holding and disposing of real estate,an unlimited amoimt â€” con-
together with the power and capacity,monopolize the exclusive
so,be called
presented,Congress; â€” having in part for its object
thousand Indian warriors,to be introduced from the United States
In furtherance of these schemes,and
ultimo,as well as on some previous occasions
induce His Excellency,exert his influence
projected companies; and,secondly
of His Excellency's refusing,accede
Coupled with this threat,Mr. Green
which could be readily aroused by exhibiting,their minds the
dangers,which our republican institutions would be exposed
the facility with which they would become entitled,the privileges
station assigned,him
in justice,his own convictions
proceeding adopted by him in this case,in reference
not susceptible of such a construction,as
objectionable,the Grovemment of the United States
undersigned,to express
desire of His Excellency,preserve and promote the mutual rela-
avails himself of the occasion,renew
the honor,remain
Raymond,Calhoun.Â®
Raymond,Allen
Your dispatch of the 9th. ultimo,Hon James Reily
a January 4 1846,
I have communicated this change of administration,the Secre-
and its President as the occasion seemed,authorize. This
sued. I have the honor,enclose herewith a copy of the communi-
cation alluded to,which I hope Mrill be satisfactory
tunity,learn what were his own and his Cabinet's views in regard to
passed by this Congress. They strongly incline,the opinion that
was continued,day but I have not had time
measure gains strength from day,day
cease their opposition and permit it,pass
I have the honor,be with assurances of my high consideration.
[Then follows a copy of Raymond,Calhoun
the honor,receive the communication addressed
return,his residence near this Government
cumstances which led,the revocation of the Exequatur granted to
The undersigned will avail himself of the earliest occasion to ,
transmit,his Government the explanation which has been fur-
nished by the Honble Mr Allen of the transaction referred to,and is
glad,perceive that it rests on causes
by the undersigned,as
that he was about,become a citizen of Texas
not wish his name,be presented
it his duty,take cognizance of Mr Green's absence from Galveston
particularly as he knew that the duties pertaining,his office
even for a vice consul. It will be recollected also that previous to ,
bally,His Excellency the President of Texas that Mr Green had
no authority in any manner,represent the Government of the
this light then,the objectionable conduct imputed
have any higher importance than what belongs,his individual
vate,character; and the undersigned is happy
Government and people of the two Republics,are so necessary to
As,the measures sought
it,be his duty
have the ight of a step,the effect of which would be
ocean v as,be invaded and severed by another revolution from
Mexico. To check such speculations â€” to give a more safe direction ,
and short sighted policy of Mexico â€” and above all,secure
of War,would be contrary
ments,the success of the measures yet necessary
nexation,the United States
ability,maintain her present elevated position.
The undersigned having felt it his duty,make these observations
begs leave,add that he will submit
consistent with his honor and acceptable,his Excellency the Presi-.
not,be merited
President,the undersigned begs leave
continue,uphold him in the performance of all his duties near this
Government; and the undersigned begs Mr Allen,accept for him-
He has the honor,be very
Calhoun,Raymond
Allen to [Raymond.] ,
I have the satisfaction,acknowledge the receipt of the several
dispatches addressed by you,this Department
a Januaiy 8 1845,
Secretary of State etc. and your reply,the same
and the evidence,be furnished by this Department
ment of State of the United States,to estabhsh the facts of the case
to secure and hasten the annexation of Texas,the United States
sage referred to,correspond with the elevated and ingenuous poUcy
its influence could be properly brought,operate upon the affairs
of the negotiations tending,such a consummation
to secure the rich and abiding fruits,sure
effected upon a proper basis; and,enure mutually and reciprocally
to the benefit of both countries,will ensure
cause of annexation,will receive
enduring tribute of a nation's thanks. Your reply,the enquiries
so frequently addressed,you by Members of Congress and others
in the United States,relating
in regard,annexation
directs me,acknowledge
o Addressed,Jones
b Addiessed,Jones. See Calendar of Comspondenoe with the United States in Part I.
yielding,the natural influence of disappointment
pelled,consider their connexion with the measure dissolved.
referred to,will be furnished by this Department at its earliest possi-
Raymond,Allen
Enclosed herewith,I have the honor
of the Secretary of State of the United States,my note of the 4th.
The discussion on the resolutions for the annexation of Texas to ,
I find that my private affairs are in a condition,require my per-
sonal attention,and
next. I therefore beg leave,most respectfully
you,to His Excellency the President this my resignation
wiU make the necessary appropriation for my salary up,that time.
I have the honor,be with high regard.
[Inclosed is a copy of Calhoun,Raymond
Allen to [Raymond.] ,
in the service of the Government,addressed
it impossible,proceed; â€” the prairies for hundreds of miles across
a January 14 1845,
b Received February 9. See Raymond,Allen
The President directs that you communicate this intelligence to ,
ties,effect the release of the prisoners through the agents or other-
wise,from the Indians
son or some other point where they can be delivered,our agents and
restored,their home and friends. All necessary expenses attend-
will be no doubt appropriated,meet the excess.
of the U,States
tives from their savage masters,who delight
I have the honor,remain
Raymond,Allen
Lexington Ky. on the 10th. inst. informing me of his intention to ,
he has declined his appointment of Charg6 d' Affaires,the United
be here,relieve me by the time I desired it
a The Texas Senate had refused,confirm Refly's appointment
to annexation. See Smith,Relly
rather,the Domestic than the Diplomatic Cotreqwn d enc e of the BepobUoof Te:
present circumstances,the Government desire me
than,the 1st. of March next
vate affairs as,make it convenient for me
Mr Milton Brown,in the House
which seems,be acceptable
I have the honor,be with high consideration
Allen,Raymond
inflicted by them upon the person of the Collector,I hasten
mit the same,you.
will be foimd,I doubt not
United States addressed,you imder date of the 2d. ultimo â€” a copy
o January 18 1845,
fr Reoeived February 0. See Raymond,Allen
Executive,present the matter
priation,at its present session
the goods applied,me
becoming security in any bond or obligation,the Government of
the Republic which might be necessary,effect the legal release of
merchandize,so seized
oath,the truth of the foregoing Deposition by him subscribed
believes,cause the same
River,and in the United States
that place,at that time
from the proper Judicial authority,and by virtue thereof proceeded to
that behalf,and instituted proceedings in admiralty
condemned and disposed of according,law.
upon such seizure â€” amounted,the sum of one hundred dollars; and
"the Steam Boat ""Hunter","consisting of from thirty,forty men, all 
and having thrown me violently upon the ground, they proceeded to 
shoulders and legs, so as,prevent me from rising, keep me in a 
his order proceeded,the ware-house, broke the door from its hinges, 
In relation,the amoimt of damages sustained in consequence of 
a For a copy inclosed with Boorland,Secretary of Treasury, May 4 1843
deponent can remark that I cannot pretend,suggest the proper 
attempt,estimate, but will leave this item,the decision of the 
made oath,the truth of the foregoing Deposition by him Subscribed 
Green,Donelson.^ 
DoNELSON,Allen.** 
honor,submit herewith,the consideration of the Honble Mr 
Department of State, a letter from Duff Green Esqr., in relation to 
the objectionable conduct imputed,him, and which was the subject 
of the communication made,the undersigned on the 4th. Inst 
Accompanying this letter is also one addressed,Mr Green by 
three Gentlemen of this place. The object of both letters is,shew 
Â« January 20 1845
tions which would otherwise have continued,exist between them. 
The undersigned r^rets deeply that his confinement,the bed 
of sickness, from which he is yet hardly able,rise, has so long post- 
poned this explanation; but he is happy,say that he has in the 
measures proposed,be accomplished by him through the agency 
he does not deem it necessary on this occasion,say more than 
here is simply,be the medium of explanation for Mr Green, being 
The undersigned renews,the Honble Mr Allen the considerations 
of high regard and esteem with which he continues,be his 
from my intention than,offer the slightest disrespect,him, or 
to resort,any improper means,obtain his sanction for the meas- 
ures,which he refers, and I trust that as an act of justice,us both, 
you will disclaim for me all intention,offer the slightest disrespect 
or,interfere in any manner with the consciencious and independent 
I need not say,you that the measures referred to, as presented 
by me, were believed,be proper and expedient. My purpose is not 
to discuss them but,enable you,make the most unequivocal 
disclaimer and,put my intentions properly before the President 
â€¢ AUen,Donelson, Januvy 4 1845
I do this ns an act of justice,mjself leaTing hixn,act ns he may 
making,bring about a reconciliation it would not be accomplished. 
It was but natural that under such circumstances I should yield to 
the suggestions that he was, in fact, opposed,annexation and was 
my opinion subject,his future action. 
not,be published unless it became necessary for my vindication. 
a willingness,do me justice I would have written,Houston to 
for an express,reach there in time. I regret its publication, as 
has been done,the President. 
I have the honor,be 
questing us,address you a written statement of the substance of the 
We have no hesitation in communicating,the best of our recol- 
ing character in relation,the Executive. And we cannot but re- 
all opposed,annexation. You expressed the decided belief that 
for the annexation of Texas, which she ought [to,] or could accept. 
the first ""to put in motion the ball of revolution"" in Texas; that 
rather than submit,such a state of things, he would be willing,go 
'*by a convention of the people"
We have [the] honor,be
I beg leave,call your attention
in the winter of 1836-37,to the escort that accompanied Genl
Santa Anna,Washington City under the authority of this Gov-
of their note. The liability,the Bank was duly met and paid by
understood,have been promptly acknowledged at the time by
The subject is now submitted,the consideration of the Executive
ceive such a disposition as will secure relief,the worthy citizen who
so generously offered his credit,sustain an appeal made
I have the honor,be very respectfully
Allen,Donelson
has the honor,acknowledge the receipt of the note addressed to
the United States,relating
imputed,Duff Green
President,enclosing Mr. Greens letter
three Gentlemen of this place,Mr. Green â€” the two latter having
relation,the same subject
"offer *'the slightest disrespect"" to the Executive or",interfere in
should so present the matter,the President as
a sense of the official obligations incident,his station â€” in adopting
panying communications,to His Excellency
A necessity for giving color,suspicions prejudicial
the duty ever so imperative always prevents an alternative,be
regretted by the ingenuous and the honorable. Alive,such feel-
ings,His Excellency is happy
ate,so far as the tenor of the correspondence referred
who as the undersigned is instructed,inform Mr. D. is willing to
induced Mr. Donelson,become the medium of explanation
be permitted,remark
addressed,the Editor of the Telegraph under date of the 2d.
done,the President. The apparent charge conveyed by the lan-
guage of that article that the Executive was opposed,annexation
remark from the undersigned,as he conceives
able impressions which such a chaise would be calculated,make
upon the mind of Mr. D. â€” or,convince him of its fallacy and injus-
possession would furnish,such a charge even if seriously made
vnth the note of Mr. D.,to the undersigned
men,before alluded to
communication,the Telegraph
The recovery of Mr. Donelson,from recent severe illness
the undersigned most cordially participating,renews
assurance of the high regard with which he has the honor,remain
Calhoun,Raymond
Calhoun,Raymond
Raymond,Calhoun
Raymond,Allen
Enclosed herewith I have the honor,transmit
which accompanied it,and also my reply
on the 25th. instant by a vote of 120,98
voted against it,at the same time expressed themselves favorable
confederacy of states; and it will remain for Texas,say whether
which convenes at this Capitol,will agree
a January 22,1S45. See RaTxnond
b January 22 1845,
e January 23 1845,
I send,you by
I have the honor,be
(Mr CtDioim,Mr Bafymond.)
I have the,honor
request,be furnished with such information as you may possess
in reference,the subjects mentioned
by you,the Department
I have the honor,be
[Next come copies of the resolution referred to,inquiring after
Rajrmond,Calhoun
Donelson,Calhoun
Donelson,Calhoun
Raymond,Calhoun
/ February 6 1845,
Raymond,Allen
I have the honor,acknowledge the receipt of your dispatch of the
private dispatch of the 17 th of December,last
frequently addressed,me by members of Congress and others in
this coimtry relative,the present views of our Government in regard
I have the honor,also
22nd. ultimo,in reference
Indians,and supposed
States,and of my reply
I have the honor,be
[Next follow copies of Benton's substitute bill referred to,pro-
dred thousand dollars,pay the expense of such negotiations; '^
Calhoun,Raymond
(Mr. Raymond,Mr Calhoan.)
Texas has the honor,acknowledge the receipt of the note of Mr
supposed,be in captivity among the Wichitaw Indians
The Government of the Undersigned will be gratified,learn of the
and of its determination,fulfill
The undersigned avails himself of this occasion,offer Mr Calhoun
Raymond,Calhoun
Smith,Donelson
has the honor,acknowledged the receipt of the note of the Hon.
documents,in relation
o February 10 1845,
ing,the port of Sabine for commerce. ^The right of every nation
gation which it shall find most convenient,itaelf and
to itself the liberty of admitting at its pleasure other nations,a
admit other nations,come
whole is subject,all the uses and incidents appertaining
vessels,trade with this port
if the payment of these duties be refused may bring,all vesseb
so refusing and compel payment. Relatively,this point
signed begs,cite Mr Jefferson who in 1792
similar,the one now imder discussion that
thing comprehends a right,the means necessary
lations as,render it unavailable by Texas
If the Government of Texas do not possess the right,collect
any where,regulate or supervise the commerce that may be carried
enunent the right,establidi a custom house at the Sabine
tenant,the water which washes its shores. The authority
nugatory. It would be idle,establish regulations for the commerce
distance they will not allow such fraudulent trans-shipments,be
language so far as relates,the boimdary and the waters of Sabine
of the Bay are common,the inhabitants of both countries. This
stipulation is declaratory of the right of Texas,the use of the
The undersigned has entered into a brief argument above,show
that a harren use was not intended â€” a bare permission,sail in and
lawfully done on shore. If foreign vessels resort,the port of
Sabine,receive the products of Texas
can go upon the water,enforce the collection of them by virtue of
tion,so
must therefore be given,both. No incompatibility or conflict
can arise,inasmuch as the United States cannot claim
To do these acts appertains of right exclusively,Texas on princi-
by the Hon Mr Donelson that ''the authority,collect these duties
perfect right,collect these duties and
the Government of the United States propose so,stretch the inter-
pretation,be given
The undersigned embraces this opportunity,present
the honor,be.
Raymond,Calhoun
Smith,Raymond
I have the honor,acknowledge the receipt of your despatches
His Excellency the President wishes you,remain at your post
until the 4th March next,and in the meantime
strenuous exertions in every proper manner,accomplish the
a February 11 1845,
annexation of Texas,the American Union â€” a measure earnestly
appointed Minister Charg6 d' Affaires of this Country,reside near
the Government of Washington on the Potomac and will proceed to ,
manner,and return
should render it expedient,delay for some short time your departure.
I am also instructed by the President,express
satisfaction with your efforts,accomplish annexation and generally
verbally,the Secretary of State that this Gov. would willingly
under direction of Congress would be highly useful,us.
I have the honor,be
Thomas,Aebuckle.^
Crawford,Armstrong
Raymond,Allen
Your despatches of the 16th and 20th ultimo came,hand on the
b The paragraph omitted relates,Raymond's salary.
e February 13 1845,
d February 17 1845,
by copies of my notes,Mr Calhoun
mony of Messrs Bourland and Wright,the Committee of Ways
sary appropriation may be made by Congress,meet the demands
of War,to which the case of Mrs. Simpson's children has been referred
will adopt the most active and efficient measures,procure the
release of the captives and their restoration,friends and country.
day last. On Saturday I paid my respects,them and met with
I have the honor,be
(Mr. Raymond,Mr Calhoan.)
Texas,by direction of his Government has the honor
herewith,to Mr. Calhoun
county and Senator in the Texian Congress,in relation
a For the depositions of Bourland and Wright,see Allen
gested in Mr Calhoun's note of the 2nd. of December,last
obstacle,its speedy
which he hopes soon,have the pleasure of communicating
The undersigned avails himself of this occasion,offer Mr. Calhoun
(Mr. Raymond,Mr Calhoun
Texas,has the honor
City of Washington,they found it impossible
Government,formally
ernment of the United States the aid of its authorities,effect the
release of these prisoners and their safe conveyance,Fort Towson
or some other point,where they can be deUvered
agents,and thus restored
the United States,will lead
States have hitherto been unable,discover
restored,their country.
The undersigned avails himself of this occasion,offer Mr Calhoun
Calhoun,Raymond
Raymond,Allen
I have the honor,transmit you herewith a copy of the note of
a February 18 1845,
h February 20 1845,
inst. and the documents which accompanied it,in reply
from their captivity and their restoration,their own country; and
time,for the discovery
part of last year on the Trinity,and supposed
I deemed it unnecessary,in my communication
ence,the orders given
the purpose of strengthening the measure and adding,their forces)
of attaching,the joint resolutions of the House Col Benton's propo-
sition,as a proviso
to accede,the terms expressed in the proposition which has passed
the House. I succeeded on yesterday in ascertaining,to my entire
Senators had been removed,and that they will come up
cient number of whig Senators will unite with them,carry it. The
only question among them seems now,be
objects,the proviso proposed
Benton seems disposed,yield
of the passage of the measure at this session,admit Texas as a State
Information reached here yesterday,which is believed by many to
and communicated,Congress a dispatch from Santa Anna
had entered into a treaty vvith Great Britain,transfering
If we are,"credit the testimony of the ''London Times"" and the"
''Havre Journal,'' England has made overtures
with her in measures,prevent the annexation of Texas
I have the honor,be with distinguished regard
[Inclosed are copies of the following:** Thomas,Arbuckle
ruary 13 1845,
to Calhoim,February 18 1845
Raymond,Allen
Union. The great struggle is over and nothing now remains,be
done except,"agree upon the terms of ""admission and cession""."
ting,you a copy of a ' 'Joint Resolution for annexing Texas
by a vote of 27,25 â€” ^To day the House concurred in the Senate's
amendment by a vote of 132,76.
b See ReoordB of Texan Legation at Washington from August 16 1844,
passed by the House,may not be aoceptabk
I have the honor,be with high regard
Joint Resolution for Annexing Texas,the United States
Calhoun,Dokslson.^
Aebuokle,Adjutant-General [Jones]. *^
Almonte,Calhoun
Buchanan,Donelson
Buchanan,Almonte
Newell,Smith
Smfth,Raymond
I hare the honor,acknowledge the receipt of your dispatches
nos 142 and 143 addressed,this Department
From the subjoined memorandimi commimicated,me from the
restored,his mother. Of course all further inquiry after them is
superseded. In communicating these facts,the American Govt.
Doneison,Allen
d March 6 1846,
/March 10 1846,
I beg,call your attention
former despatch of mine,you. Cases are occurring almost daily
in which these papers would be highly conyenient,not
they are indispensable,us. Since the date of my last dispatch
exchange proposed shall be acceded,I shall place the Laws
Smith,Newell.
I have,acknowledge the receipt of your communication of the
the United States,communicate with the Grovemment of Texas''
and calling my attention,matters touching the collection of duties
by the Collector at Sabine on American vessels resorting,that port
I beg,state in reply that this subject will be attended
d' Affaires of the U. States,his post near this Government. Mr
I take this occasion,mention that the Chief Clerk of this Depart-
ment,whom has been entrusted the collection and forwarding of
a See Calendar of Correspondeiioe with the UnJted States in Part I,under title of Raymond
Mabot,Buchanan
Raymond,Smith.&lt;*
I have the honor,acknowledge the receipt of your despatch of
been appointed Minister Chargfi d'AflFaires of Texas,reside near
permission,return home as soon as convenient after the 4th.
instant,unless the interests of Texas should render it expedient to
inclination,I should not have failed
mission,return
duty,to remain at my post imtil I should learn the determination
d'AflFaires,for the annexation of Texas
dispatch,which came
tioned my desire,leave in a few days and asked his opinion about
able earnestness,delay my departure until we should hear from
Texas,after the overtures for annexation had been presented
^See Records of Texan Legatton at WMbin^too firozn August 16,1M4
for this Grovemment,hold some correspondence with the Texian
stances I have,with some inconvenience
stay here and purpose,unless I receive instructions
result of the overtures alluded to; and inasmuch as the resolutions ,
my determination,remain a short time longer would meet the
efforts,accomplish annexation
with Mr Buchanan in regard,an exchange of public documents
cases,** and requested him when he should reply
named case,to inform me what disposition had been made of them
ing upon applications for office that he had been unable,take up
return from Pennsylvania,where he is going this week
only a few days,he would examine into the cases refered
municate,me their condition. I understood from the Committee
